keyword,kpi_month,usage_type,status,vendor,idea,source_url,discovery_source,added_at
생성형 AI,2026-06,PR 기사,반영완료,,,,뉴스 자동탐지,2026-06-24 01:26:49
AI 보안,2026-06,PR 기사,반영완료,,,,뉴스 자동탐지,2026-06-29 04:15:34
정보보안,2026-06,,반영완료,,,,뉴스 자동탐지,2026-06-29 04:15:49
기업보안,2026-06,온드미디어,반영완료,,,,직접 입력,2026-06-29 04:17:29
edr,2026-06,PR 기사,반영완료,,,,직접 입력,2026-06-29 04:22:47
Codex,2026-06,PR 기사,반영완료,,,,직접 입력,2026-06-29 04:27:06
프롬프트,2026-06,온드미디어,반영완료,,,,직접 입력,2026-06-29 04:31:00
MicrosoftAzure,2026-07,온드미디어,반영완료,,,,직접 입력,2026-07-08 04:53:34
AX,2026-07,온드미디어,반영완료,,,,직접 입력,2026-07-08 04:53:42
코파일럿,2026-07,온드미디어,반영완료,,,,직접 입력,2026-08-21 01:12:05
변화관리,2026-07,온드미디어,반영완료,,,,직접 입력,2026-08-21 01:12:13
디지털퀄리티,2026-07,온드미디어,반영완료,,,https://www.linkedin.com/feed/update/urn:li:activity:7485910851338797056,직접 입력,2026-08-21 01:12:34
생성형AI,2026-07,온드미디어,반영완료,,,https://www.linkedin.com/feed/update/urn:li:activity:7485910851338797056,직접 입력,2026-08-21 01:12:44
사이버보안,2026-07,온드미디어,반영완료,,,https://www.linkedin.com/feed/update/urn:li:activity:7485910851338797056,직접 입력,2026-08-21 01:12:54
데이터보안,2026-07,온드미디어,반영완료,,,https://www.linkedin.com/feed/update/urn:li:activity:7485910851338797056,직접 입력,2026-08-21 01:13:02
데이터거버넌스,2026-07,온드미디어,반영완료,,,https://www.linkedin.com/feed/update/urn:li:activity:7485910851338797056,직접 입력,2026-08-21 01:13:12
AI보안,2026-07,온드미디어,반영완료,,,https://www.linkedin.com/feed/update/urn:li:activity:7485910851338797056,직접 입력,2026-08-21 01:13:20
Microsoft,2026-08,,반영완료,,,,직접 입력,2026-08-26 04:38:25
AI,2026-08,,반영완료,,,,직접 입력,2026-08-26 04:44:34
AX,2026-08,,반영완료,,,,직접 입력,2026-08-26 04:44:42
CustomerZero,2026-08,,반영완료,,,,직접 입력,2026-08-26 04:44:51
AIFlow,2026-08,,반영완료,,,,직접 입력,2026-08-26 04:45:42
